bowler,match,wickets,bowler's_runs,valid_ball,overs_bowled,economy,best,4W Hall,5W Hall
Rohan Gavaskar,1,0,8,6,1.0,8.0,0/ 8,0,0
Faiz Fazal,2,0,20,12,2.0,10.0,0/ 6,0,0
Mahipal Lomror,2,0,27,18,3.0,9.0,0/ 8,0,0
Nathan McCullum,2,0,34,30,5.0,6.8,0/ 12,0,0
Vikrant Yeligati,2,0,59,30,5.0,11.8,0/ 16,0,0
Michael Neser,1,0,62,24,4.0,15.5,0/ 62,0,0
Mandeep Singh,2,0,26,12,2.0,13.0,0/ 8,0,0
Mashrafe Mortaza,1,0,58,24,4.0,14.5,0/ 58,0,0
Abhishek Raut,5,0,44,30,5.0,8.8,0/ 6,0,0
Abrar Kazi,1,0,21,12,2.0,10.5,0/ 21,0,0
Chamara Kapugedera,3,0,49,17,2.5,19.6,0/ 8,0,0
Sean Abbott,2,0,57,30,5.0,11.4,0/ 21,0,0
Nathan Rimmington,1,0,19,18,3.0,6.33,0/ 19,0,0
Rahil Shaikh,1,0,11,6,1.0,11.0,0/ 11,0,0
Ishan Malhotra,1,0,23,6,1.0,23.0,0/ 23,0,0
Prayas Barman,1,0,56,24,4.0,14.0,0/ 56,0,0
Rahul Tripathi,1,0,12,6,1.0,12.0,0/ 12,0,0
Praveen Dubey,3,0,72,48,8.0,9.0,0/ 14,0,0
Harpreet Brar,3,0,89,54,9.0,9.89,0/ 24,0,0
Chamara Silva,1,0,21,6,1.0,21.0,0/ 21,0,0
Chandrasekar Ganapathy,1,0,13,6,1.0,13.0,0/ 13,0,0
Raju Bhatkal,1,0,35,12,2.0,17.5,0/ 35,0,0
Chris Green,1,0,24,17,2.5,9.6,0/ 24,0,0
Bharat Chipli,1,0,20,6,1.0,20.0,0/ 20,0,0
Ben Rohrer,1,0,12,6,1.0,12.0,0/ 12,0,0
Junior Dala,1,0,34,18,3.0,11.33,0/ 34,0,0
Faf du Plessis,1,0,16,6,1.0,16.0,0/ 16,0,0
Steve Smith,1,0,5,2,0.2,25.0,0/ 5,0,0
