bowler,batting_team,Innings,bowler's_wicket,bowler's_runs,valid_ball,overs,economy
Wayne Parnell,Kolkata Knight Riders,6,7,177,144,24.0,7.38
Wayne Parnell,Mumbai Indians,5,3,107,111,18.3,5.85
Wayne Parnell,Punjab Kings,3,3,74,70,11.4,6.49
Wayne Parnell,Rajasthan Royals,3,5,74,59,9.5,7.79
Wayne Parnell,Royal Challengers Bangalore,1,0,19,18,3.0,6.33
Wayne Parnell,Sunrisers Hyderabad,1,0,38,24,4.0,9.5
Wilkin Mota,Chennai Super Kings,2,2,32,24,4.0,8.0
Wilkin Mota,Deccan Chargers,2,1,44,30,5.0,8.8
Wilkin Mota,Delhi Capitals,1,1,6,6,1.0,6.0
Wilkin Mota,Mumbai Indians,1,0,3,6,1.0,3.0
Wilkin Mota,Rajasthan Royals,1,0,12,6,1.0,12.0
Yo Mahesh,Chennai Super Kings,2,3,71,48,8.0,8.88
Yo Mahesh,Deccan Chargers,1,1,35,24,4.0,8.75
Yo Mahesh,Kolkata Knight Riders,2,2,45,30,5.0,9.0
Yo Mahesh,Mumbai Indians,2,7,69,48,8.0,8.62
Yo Mahesh,Pune Warriors India,1,1,22,14,2.2,10.0
Yo Mahesh,Punjab Kings,4,3,98,66,11.0,8.91
Yo Mahesh,Rajasthan Royals,3,4,106,61,10.1,10.5
Yo Mahesh,Royal Challengers Bangalore,2,0,53,48,8.0,6.62
Yogesh Nagar,Deccan Chargers,3,1,61,30,5.0,12.2
Yogesh Nagar,Kochi Tuskers Kerala,1,0,15,6,1.0,15.0
Yogesh Nagar,Pune Warriors India,1,0,10,6,1.0,10.0
Yogesh Nagar,Punjab Kings,1,0,16,6,1.0,16.0
Yogesh Nagar,Royal Challengers Bangalore,2,3,23,18,3.0,7.67
Yusuf Abdulla,Chennai Super Kings,1,0,18,12,2.0,9.0
Yusuf Abdulla,Delhi Capitals,2,1,49,30,5.0,9.8
Yusuf Abdulla,Kolkata Knight Riders,2,1,53,36,6.0,8.83
Yusuf Abdulla,Mumbai Indians,1,2,19,24,4.0,4.75
Yusuf Abdulla,Rajasthan Royals,2,3,65,42,7.0,9.29
Yusuf Abdulla,Royal Challengers Bangalore,3,8,103,65,10.5,9.81
Yusuf Pathan,Chennai Super Kings,15,9,300,241,40.1,7.48
Yusuf Pathan,Deccan Chargers,9,7,167,144,24.0,6.96
Yusuf Pathan,Delhi Capitals,8,1,93,78,13.0,7.15
Yusuf Pathan,Gujarat Lions,2,0,21,12,2.0,10.5
Yusuf Pathan,Kochi Tuskers Kerala,2,4,36,42,7.0,5.14
Yusuf Pathan,Kolkata Knight Riders,5,3,110,90,15.0,7.33
Yusuf Pathan,Mumbai Indians,8,0,123,102,17.0,7.24
Yusuf Pathan,Pune Warriors India,3,4,58,48,8.0,7.25
Yusuf Pathan,Punjab Kings,10,6,174,144,24.0,7.25
Yusuf Pathan,Rajasthan Royals,5,4,75,60,10.0,7.5
Yusuf Pathan,Royal Challengers Bangalore,7,3,145,102,17.0,8.53
Yusuf Pathan,Sunrisers Hyderabad,8,1,113,84,14.0,8.07
Yuvraj Singh,Chennai Super Kings,8,2,120,90,15.0,8.0
Yuvraj Singh,Deccan Chargers,7,9,129,120,20.0,6.45
Yuvraj Singh,Delhi Capitals,14,7,197,175,29.1,6.77
Yuvraj Singh,Gujarat Lions,1,0,13,12,2.0,6.5
Yuvraj Singh,Kochi Tuskers Kerala,1,0,12,6,1.0,12.0
Yuvraj Singh,Kolkata Knight Riders,6,1,93,60,10.0,9.3
Yuvraj Singh,Mumbai Indians,10,6,122,120,20.0,6.1
Yuvraj Singh,Punjab Kings,6,1,84,54,9.0,9.33
Yuvraj Singh,Rajasthan Royals,9,6,148,102,17.0,8.71
Yuvraj Singh,Rising Pune Supergiant,1,0,10,6,1.0,10.0
Yuvraj Singh,Royal Challengers Bangalore,7,3,121,96,16.0,7.56
Yuvraj Singh,Sunrisers Hyderabad,3,1,28,28,4.4,6.36
Yuzvendra Chahal,Chennai Super Kings,11,12,296,258,43.0,6.88
Yuzvendra Chahal,Delhi Capitals,13,14,372,277,46.1,8.07
Yuzvendra Chahal,Gujarat Lions,5,8,154,114,19.0,8.11
Yuzvendra Chahal,Kolkata Knight Riders,15,14,434,336,56.0,7.75
Yuzvendra Chahal,Mumbai Indians,13,19,414,300,50.0,8.28
Yuzvendra Chahal,Punjab Kings,14,21,364,277,46.1,7.9
Yuzvendra Chahal,Rajasthan Royals,10,16,209,207,34.3,6.09
Yuzvendra Chahal,Rising Pune Supergiant,3,1,74,42,7.0,10.57
Yuzvendra Chahal,Sunrisers Hyderabad,14,16,406,319,53.1,7.65
Zaheer Khan,Chennai Super Kings,12,16,353,276,46.0,7.67
Zaheer Khan,Deccan Chargers,7,12,181,150,25.0,7.24
Zaheer Khan,Delhi Capitals,8,6,240,155,25.5,9.41
Zaheer Khan,Gujarat Lions,3,1,105,72,12.0,8.75
Zaheer Khan,Kochi Tuskers Kerala,2,2,54,48,8.0,6.75
Zaheer Khan,Kolkata Knight Riders,15,19,424,311,51.5,8.23
Zaheer Khan,Mumbai Indians,10,7,285,240,40.0,7.12
Zaheer Khan,Pune Warriors India,3,3,88,72,12.0,7.33
Zaheer Khan,Punjab Kings,14,13,396,323,53.5,7.4
Zaheer Khan,Rajasthan Royals,8,5,213,192,32.0,6.66
Zaheer Khan,Rising Pune Supergiant,3,5,64,60,10.0,6.4
Zaheer Khan,Royal Challengers Bangalore,10,10,257,205,34.1,7.54
Zaheer Khan,Sunrisers Hyderabad,4,3,122,96,16.0,7.62
