bowler,batting_team,Innings,bowler's_wicket,bowler's_runs,valid_ball,overs,economy
Chamara Kapugedera,Delhi Capitals,1,0,15,6,1.0,15.0
Chamara Kapugedera,Mumbai Indians,1,0,26,5,0.5,52.0
Chamara Kapugedera,Punjab Kings,1,0,8,6,1.0,8.0
Chamara Silva,Royal Challengers Bangalore,1,0,21,6,1.0,21.0
Chaminda Vaas,Chennai Super Kings,1,3,21,24,4.0,5.25
Chaminda Vaas,Delhi Capitals,4,4,114,90,15.0,7.6
Chaminda Vaas,Kolkata Knight Riders,3,5,67,54,9.0,7.44
Chaminda Vaas,Punjab Kings,1,2,27,24,4.0,6.75
Chaminda Vaas,Rajasthan Royals,3,3,90,66,11.0,8.18
Chaminda Vaas,Royal Challengers Bangalore,1,1,36,24,4.0,9.0
Chandrasekar Ganapathy,Royal Challengers Bangalore,1,0,13,6,1.0,13.0
Charl Langeveldt,Deccan Chargers,1,2,26,24,4.0,6.5
Charl Langeveldt,Delhi Capitals,1,2,35,18,3.0,11.67
Charl Langeveldt,Kolkata Knight Riders,1,2,10,18,3.0,3.33
Charl Langeveldt,Punjab Kings,1,2,48,24,4.0,12.0
Charl Langeveldt,Rajasthan Royals,2,4,41,48,8.0,5.12
Charl Langeveldt,Royal Challengers Bangalore,1,1,27,24,4.0,6.75
Chetanya Nanda,Chennai Super Kings,1,0,21,18,3.0,7.0
Chetanya Nanda,Rajasthan Royals,1,1,4,6,1.0,4.0
Chetanya Nanda,Royal Challengers Bangalore,1,1,32,24,4.0,8.0
Chris Gayle,Chennai Super Kings,5,3,120,89,14.5,8.28
Chris Gayle,Deccan Chargers,3,1,29,18,3.0,9.67
Chris Gayle,Delhi Capitals,5,3,92,66,11.0,8.36
Chris Gayle,Gujarat Lions,1,0,3,12,2.0,1.5
Chris Gayle,Kochi Tuskers Kerala,1,1,26,24,4.0,6.5
Chris Gayle,Kolkata Knight Riders,2,0,20,18,3.0,6.67
Chris Gayle,Mumbai Indians,5,1,126,94,15.4,8.18
Chris Gayle,Pune Warriors India,3,4,18,24,4.0,4.5
Chris Gayle,Punjab Kings,8,4,176,120,20.0,8.8
Chris Gayle,Rajasthan Royals,3,1,64,48,8.0,8.0
Chris Gayle,Royal Challengers Bangalore,1,0,31,23,3.5,8.86
Chris Gayle,Sunrisers Hyderabad,1,0,24,18,3.0,8.0
Chris Green,Mumbai Indians,1,0,24,17,2.5,9.6
Chris Jordan,Chennai Super Kings,2,1,73,36,6.0,12.17
Chris Jordan,Delhi Capitals,2,1,66,36,6.0,11.0
Chris Jordan,Gujarat Lions,2,6,37,42,7.0,5.29
Chris Jordan,Kolkata Knight Riders,4,3,93,72,12.0,7.75
Chris Jordan,Mumbai Indians,2,1,69,36,6.0,11.5
Chris Jordan,Punjab Kings,3,0,95,54,9.0,10.56
Chris Jordan,Rajasthan Royals,1,1,44,21,3.3,13.33
Chris Jordan,Rising Pune Supergiant,1,1,43,24,4.0,10.75
Chris Jordan,Royal Challengers Bangalore,1,1,20,18,3.0,6.67
Chris Jordan,Sunrisers Hyderabad,2,6,62,48,8.0,7.75
Chris Morris,Chennai Super Kings,5,9,140,118,19.4,7.22
Chris Morris,Delhi Capitals,3,3,67,48,8.0,8.38
Chris Morris,Gujarat Lions,2,3,67,48,8.0,8.38
Chris Morris,Kolkata Knight Riders,12,15,320,264,44.0,7.27
Chris Morris,Mumbai Indians,9,7,268,198,33.0,8.12
Chris Morris,Pune Warriors India,2,3,46,42,7.0,6.57
Chris Morris,Punjab Kings,11,13,275,240,40.0,6.88
Chris Morris,Rajasthan Royals,5,6,169,108,18.0,9.39
Chris Morris,Rising Pune Supergiant,2,2,31,24,4.0,7.75
Chris Morris,Royal Challengers Bangalore,9,10,279,192,32.0,8.72
Chris Morris,Sunrisers Hyderabad,10,9,257,192,32.0,8.03
Chris Woakes,Delhi Capitals,3,1,91,66,11.0,8.27
Chris Woakes,Gujarat Lions,2,1,55,30,5.0,11.0
Chris Woakes,Kolkata Knight Riders,1,3,36,24,4.0,9.0
Chris Woakes,Mumbai Indians,2,2,65,42,7.0,9.29
Chris Woakes,Punjab Kings,3,6,86,62,10.2,8.43
Chris Woakes,Rajasthan Royals,1,2,47,24,4.0,11.75
Chris Woakes,Rising Pune Supergiant,2,3,56,42,7.0,8.0
Chris Woakes,Royal Challengers Bangalore,2,4,45,36,6.0,7.5
Chris Woakes,Sunrisers Hyderabad,2,3,95,48,8.0,11.88
Clint McKay,Delhi Capitals,1,0,24,18,3.0,8.0
Clint McKay,Punjab Kings,1,1,36,24,4.0,9.0
Colin Munro,Delhi Capitals,1,0,7,6,1.0,7.0
Colin Munro,Sunrisers Hyderabad,1,0,8,6,1.0,8.0
Colin de Grandhomme,Chennai Super Kings,1,1,16,24,4.0,4.0
Colin de Grandhomme,Delhi Capitals,3,0,39,18,3.0,13.0
Colin de Grandhomme,Mumbai Indians,3,0,71,48,8.0,8.88
Colin de Grandhomme,Punjab Kings,3,2,60,48,8.0,7.5
Colin de Grandhomme,Rajasthan Royals,1,0,23,12,2.0,11.5
Colin de Grandhomme,Rising Pune Supergiant,2,0,21,14,2.2,9.55
Colin de Grandhomme,Royal Challengers Bangalore,2,3,19,22,3.4,5.59
Colin de Grandhomme,Sunrisers Hyderabad,4,0,70,30,5.0,14.0
Corey Anderson,Chennai Super Kings,4,0,127,58,9.4,13.51
Corey Anderson,Delhi Capitals,2,2,26,18,3.0,8.67
Corey Anderson,Gujarat Lions,2,1,55,30,5.0,11.0
Corey Anderson,Kolkata Knight Riders,3,1,81,47,7.5,10.8
Corey Anderson,Mumbai Indians,2,3,76,36,6.0,12.67
Corey Anderson,Punjab Kings,2,2,40,30,5.0,8.0
Corey Anderson,Rajasthan Royals,2,0,26,24,4.0,6.5
Corey Anderson,Rising Pune Supergiant,2,0,14,12,2.0,7.0
Corey Anderson,Royal Challengers Bangalore,1,0,38,24,4.0,9.5
Corey Anderson,Sunrisers Hyderabad,2,2,35,18,3.0,11.67
D'Arcy Short,Royal Challengers Bangalore,1,1,10,6,1.0,10.0
D'Arcy Short,Sunrisers Hyderabad,1,0,9,12,2.0,4.5
Dale Steyn,Chennai Super Kings,12,9,352,288,48.0,7.33
Dale Steyn,Deccan Chargers,6,7,127,132,22.0,5.77
Dale Steyn,Delhi Capitals,11,16,276,264,44.0,6.27
Dale Steyn,Kochi Tuskers Kerala,1,3,16,21,3.3,4.85
Dale Steyn,Kolkata Knight Riders,13,13,401,306,51.0,7.86
Dale Steyn,Mumbai Indians,14,15,369,330,55.0,6.71
Dale Steyn,Pune Warriors India,5,5,144,119,19.5,7.38
Dale Steyn,Punjab Kings,12,8,347,264,44.0,7.89
Dale Steyn,Rajasthan Royals,11,13,232,250,41.4,5.6
Dale Steyn,Royal Challengers Bangalore,8,7,194,168,28.0,6.93
Dale Steyn,Sunrisers Hyderabad,2,1,50,34,5.4,9.26
Daniel Christian,Chennai Super Kings,4,3,86,78,13.0,6.62
Daniel Christian,Delhi Capitals,4,5,122,84,14.0,8.71
Daniel Christian,Gujarat Lions,1,1,27,18,3.0,9.0
Daniel Christian,Kochi Tuskers Kerala,1,0,12,18,3.0,4.0
Daniel Christian,Kolkata Knight Riders,4,3,112,78,13.0,8.62
Daniel Christian,Mumbai Indians,9,6,282,180,30.0,9.4
Daniel Christian,Pune Warriors India,2,4,34,36,6.0,5.67
Daniel Christian,Punjab Kings,7,8,143,112,18.4,7.77
Daniel Christian,Rajasthan Royals,2,1,68,42,7.0,9.71
Daniel Christian,Royal Challengers Bangalore,3,2,73,72,12.0,6.08
Daniel Christian,Sunrisers Hyderabad,3,1,78,65,10.5,7.43
Daniel Harris,Chennai Super Kings,1,0,11,6,1.0,11.0
Daniel Harris,Punjab Kings,1,0,15,12,2.0,7.5
Daniel Sams,Mumbai Indians,1,0,44,24,4.0,11.0
Daniel Sams,Punjab Kings,1,0,30,24,4.0,7.5
Daniel Sams,Royal Challengers Bangalore,1,0,40,24,4.0,10.0
Daniel Vettori,Chennai Super Kings,6,4,173,142,23.4,7.39
Daniel Vettori,Deccan Chargers,2,1,52,42,7.0,7.43
Daniel Vettori,Delhi Capitals,2,2,53,48,8.0,6.62
Daniel Vettori,Kochi Tuskers Kerala,2,3,41,48,8.0,5.12
Daniel Vettori,Kolkata Knight Riders,4,4,109,90,15.0,7.27
Daniel Vettori,Mumbai Indians,2,3,37,48,8.0,4.62
Daniel Vettori,Pune Warriors India,2,2,57,48,8.0,7.12
Daniel Vettori,Punjab Kings,6,4,124,131,21.5,5.77
Daniel Vettori,Rajasthan Royals,4,2,107,84,14.0,7.64
Daniel Vettori,Royal Challengers Bangalore,4,3,126,96,16.0,7.88
Daren Sammy,Chennai Super Kings,3,0,75,36,6.0,12.5
Daren Sammy,Delhi Capitals,2,3,44,36,6.0,7.33
Daren Sammy,Kolkata Knight Riders,3,0,23,18,3.0,7.67
Daren Sammy,Mumbai Indians,2,1,35,24,4.0,8.75
Daren Sammy,Punjab Kings,2,5,44,36,6.0,7.33
Daren Sammy,Rajasthan Royals,4,2,67,56,9.2,7.28
Daren Sammy,Royal Challengers Bangalore,2,0,44,18,3.0,14.67
Daren Sammy,Sunrisers Hyderabad,1,0,18,12,2.0,9.0
David Hussey,Chennai Super Kings,6,1,107,78,13.0,8.23
David Hussey,Deccan Chargers,4,3,57,36,6.0,9.5
David Hussey,Delhi Capitals,3,1,57,54,9.0,6.33
David Hussey,Kolkata Knight Riders,2,0,33,18,3.0,11.0
David Hussey,Mumbai Indians,3,0,58,30,5.0,11.6
David Hussey,Punjab Kings,4,1,79,54,9.0,8.78
David Hussey,Rajasthan Royals,1,0,26,12,2.0,13.0
David Hussey,Royal Challengers Bangalore,3,2,57,35,5.5,10.36
David Warner,Delhi Capitals,1,0,2,1,0.1,20.0
David Wiese,Chennai Super Kings,3,4,105,72,12.0,8.75
David Wiese,Delhi Capitals,3,2,106,68,11.2,9.46
David Wiese,Kolkata Knight Riders,1,1,20,12,2.0,10.0
David Wiese,Mumbai Indians,2,4,71,48,8.0,8.88
David Wiese,Punjab Kings,2,1,21,18,3.0,7.0
David Wiese,Rajasthan Royals,2,2,59,48,8.0,7.38
David Wiese,Sunrisers Hyderabad,1,2,20,12,2.0,10.0
David Willey,Rajasthan Royals,1,1,47,24,4.0,11.75
David Willey,Royal Challengers Bangalore,1,1,24,24,4.0,6.0
David Willey,Sunrisers Hyderabad,1,0,24,12,2.0,12.0
Deepak Chahar,Delhi Capitals,8,8,207,162,27.0,7.67
Deepak Chahar,Kolkata Knight Riders,5,3,152,96,16.0,9.5
Deepak Chahar,Mumbai Indians,9,9,243,178,29.4,8.27
Deepak Chahar,Punjab Kings,7,2,210,144,24.0,8.75
Deepak Chahar,Rajasthan Royals,5,9,131,120,20.0,6.55
Deepak Chahar,Royal Challengers Bangalore,6,5,121,114,19.0,6.37
Deepak Chahar,Sunrisers Hyderabad,8,9,207,186,31.0,6.68
Deepak Hooda,Chennai Super Kings,2,0,30,18,3.0,10.0
Deepak Hooda,Delhi Capitals,5,1,62,54,9.0,6.89
Deepak Hooda,Gujarat Lions,1,1,22,18,3.0,7.33
Deepak Hooda,Kolkata Knight Riders,2,2,24,18,3.0,8.0
Deepak Hooda,Mumbai Indians,3,1,30,24,4.0,7.5
Deepak Hooda,Punjab Kings,4,1,98,60,10.0,9.8
Deepak Hooda,Royal Challengers Bangalore,2,1,11,7,1.1,10.0
Deepak Hooda,Sunrisers Hyderabad,2,0,45,30,5.0,9.0
Dhawal Kulkarni,Chennai Super Kings,7,10,218,150,25.0,8.72
Dhawal Kulkarni,Deccan Chargers,4,4,73,60,10.0,7.3
Dhawal Kulkarni,Delhi Capitals,15,13,384,275,45.5,8.44
Dhawal Kulkarni,Kolkata Knight Riders,9,5,263,173,28.5,9.23
Dhawal Kulkarni,Mumbai Indians,10,13,314,216,36.0,8.72
Dhawal Kulkarni,Pune Warriors India,1,0,20,24,4.0,5.0
Dhawal Kulkarni,Punjab Kings,11,11,332,220,36.4,9.12
Dhawal Kulkarni,Rajasthan Royals,6,8,148,126,21.0,7.05
Dhawal Kulkarni,Rising Pune Supergiant,1,0,25,18,3.0,8.33
Dhawal Kulkarni,Royal Challengers Bangalore,13,15,349,268,44.4,7.86
Dhawal Kulkarni,Sunrisers Hyderabad,14,7,300,233,38.5,7.79
Dilhara Fernando,Chennai Super Kings,1,2,23,24,4.0,5.75
Dilhara Fernando,Deccan Chargers,1,2,38,24,4.0,9.5
Dilhara Fernando,Delhi Capitals,1,2,32,24,4.0,8.0
Dilhara Fernando,Kolkata Knight Riders,2,1,72,42,7.0,10.29
Dilhara Fernando,Punjab Kings,1,1,36,24,4.0,9.0
Dilhara Fernando,Rajasthan Royals,1,2,27,24,4.0,6.75
Dilhara Fernando,Royal Challengers Bangalore,3,7,70,72,12.0,5.83
Dillon du Preez,Mumbai Indians,1,3,32,24,4.0,8.0
Dillon du Preez,Rajasthan Royals,1,1,24,18,3.0,8.0
Dimitri Mascarenhas,Chennai Super Kings,1,0,26,20,3.2,8.12
Dimitri Mascarenhas,Delhi Capitals,3,6,88,72,12.0,7.33
Dimitri Mascarenhas,Kolkata Knight Riders,3,2,86,72,12.0,7.17
Dimitri Mascarenhas,Mumbai Indians,1,2,34,24,4.0,8.5
Dimitri Mascarenhas,Pune Warriors India,2,6,48,48,8.0,6.0
Dimitri Mascarenhas,Punjab Kings,1,0,29,24,4.0,7.25
Dimitri Mascarenhas,Royal Challengers Bangalore,1,3,20,24,4.0,5.0
Dimitri Mascarenhas,Sunrisers Hyderabad,1,0,25,24,4.0,6.25
Dinesh Salunkhe,Chennai Super Kings,1,0,14,6,1.0,14.0
Dinesh Salunkhe,Deccan Chargers,1,0,9,6,1.0,9.0
Dinesh Salunkhe,Delhi Capitals,1,0,11,6,1.0,11.0
Dinesh Salunkhe,Punjab Kings,2,1,44,29,4.5,9.78
Dirk Nannes,Chennai Super Kings,4,5,102,91,15.1,6.75
Dirk Nannes,Deccan Chargers,5,4,146,114,19.0,7.68
Dirk Nannes,Kochi Tuskers Kerala,1,1,31,18,3.0,10.33
Dirk Nannes,Kolkata Knight Riders,4,3,129,91,15.1,8.54
Dirk Nannes,Mumbai Indians,5,7,113,102,17.0,6.65
Dirk Nannes,Pune Warriors India,1,0,42,24,4.0,10.5
Dirk Nannes,Punjab Kings,3,4,53,65,10.5,5.05
Dirk Nannes,Rajasthan Royals,3,2,83,69,11.3,7.35
Dirk Nannes,Royal Challengers Bangalore,3,2,86,72,12.0,7.17
Doddapaneni Kalyankrishna,Mumbai Indians,1,0,23,12,2.0,11.5
Doddapaneni Kalyankrishna,Punjab Kings,1,1,34,18,3.0,11.33
Doddapaneni Kalyankrishna,Rajasthan Royals,1,1,30,18,3.0,10.0
Dominic Thornely,Chennai Super Kings,1,0,10,6,1.0,10.0
Dominic Thornely,Deccan Chargers,1,0,8,6,1.0,8.0
Dominic Thornely,Delhi Capitals,1,1,15,12,2.0,7.5
Dominic Thornely,Kolkata Knight Riders,1,2,7,18,3.0,2.33
Domnic Joseph,Chennai Super Kings,1,1,18,18,3.0,6.0
Domnic Joseph,Kolkata Knight Riders,1,2,18,18,3.0,6.0
Domnic Joseph,Mumbai Indians,1,1,7,12,2.0,3.5
Domnic Joseph,Punjab Kings,1,0,24,18,3.0,8.0
Domnic Joseph,Royal Challengers Bangalore,1,0,14,6,1.0,14.0
Domnic Joseph,Sunrisers Hyderabad,1,0,20,12,2.0,10.0
Doug Bollinger,Deccan Chargers,4,8,90,79,13.1,6.87
Doug Bollinger,Delhi Capitals,3,3,80,60,10.0,8.0
Doug Bollinger,Kochi Tuskers Kerala,2,2,56,42,7.0,8.0
Doug Bollinger,Kolkata Knight Riders,2,2,21,30,5.0,4.2
Doug Bollinger,Mumbai Indians,4,5,134,95,15.5,8.65
Doug Bollinger,Pune Warriors India,3,6,71,66,11.0,6.45
Doug Bollinger,Punjab Kings,1,0,39,24,4.0,9.75
Doug Bollinger,Rajasthan Royals,4,6,96,96,16.0,6.0
Doug Bollinger,Royal Challengers Bangalore,4,5,106,84,14.0,7.57
Doug Bracewell,Royal Challengers Bangalore,1,3,32,24,4.0,8.0
Dwaraka Ravi Teja,Kolkata Knight Riders,1,0,9,6,1.0,9.0
Dwaraka Ravi Teja,Royal Challengers Bangalore,1,1,19,12,2.0,9.5
Dwayne Bravo,Chennai Super Kings,6,5,182,121,20.1,9.05
Dwayne Bravo,Deccan Chargers,8,7,178,133,22.1,8.05
Dwayne Bravo,Delhi Capitals,18,18,429,321,53.3,8.05
Dwayne Bravo,Kochi Tuskers Kerala,1,1,36,24,4.0,9.0
Dwayne Bravo,Kolkata Knight Riders,17,17,487,326,54.2,8.99
Dwayne Bravo,Mumbai Indians,19,28,539,404,67.2,8.02
Dwayne Bravo,Pune Warriors India,4,5,112,90,15.0,7.47
Dwayne Bravo,Punjab Kings,16,22,426,330,55.0,7.75
Dwayne Bravo,Rajasthan Royals,12,15,371,231,38.3,9.69
Dwayne Bravo,Rising Pune Supergiant,2,2,83,48,8.0,10.38
Dwayne Bravo,Royal Challengers Bangalore,20,14,537,372,62.0,8.66
Dwayne Bravo,Sunrisers Hyderabad,14,19,418,312,52.0,8.04
Dwayne Smith,Chennai Super Kings,5,0,84,42,7.0,12.0
Dwayne Smith,Delhi Capitals,10,4,168,114,19.0,8.84
Dwayne Smith,Kolkata Knight Riders,6,7,99,90,15.0,6.6
Dwayne Smith,Mumbai Indians,5,3,94,60,10.0,9.4
Dwayne Smith,Punjab Kings,4,3,98,48,8.0,12.25
Dwayne Smith,Rajasthan Royals,5,1,76,59,9.5,8.0
Dwayne Smith,Rising Pune Supergiant,2,1,36,30,5.0,7.2
Dwayne Smith,Royal Challengers Bangalore,6,5,100,66,11.0,9.09
Dwayne Smith,Sunrisers Hyderabad,3,2,55,30,5.0,11.0
Faf du Plessis,Deccan Chargers,1,0,16,6,1.0,16.0
Faiz Fazal,Kolkata Knight Riders,1,0,14,6,1.0,14.0
Faiz Fazal,Punjab Kings,1,0,6,6,1.0,6.0
Farveez Maharoof,Deccan Chargers,2,4,75,48,8.0,9.38
Farveez Maharoof,Kolkata Knight Riders,2,2,55,42,7.0,7.86
Farveez Maharoof,Mumbai Indians,2,3,77,48,8.0,9.62
Farveez Maharoof,Punjab Kings,5,4,124,84,14.0,8.86
Farveez Maharoof,Rajasthan Royals,6,11,139,138,23.0,6.04
Farveez Maharoof,Royal Challengers Bangalore,3,3,50,60,10.0,5.0
Fidel Edwards,Chennai Super Kings,1,1,21,24,4.0,5.25
Fidel Edwards,Delhi Capitals,1,0,44,22,3.4,12.94
Fidel Edwards,Kolkata Knight Riders,1,0,6,24,4.0,1.5
Fidel Edwards,Mumbai Indians,1,2,27,24,4.0,6.75
Fidel Edwards,Rajasthan Royals,1,1,17,22,3.4,5.0
Fidel Edwards,Royal Challengers Bangalore,1,1,39,24,4.0,9.75
Gagandeep Singh,Deccan Chargers,2,2,70,42,7.0,10.0
Gagandeep Singh,Kolkata Knight Riders,1,1,43,24,4.0,10.75
Gagandeep Singh,Royal Challengers Bangalore,1,0,28,18,3.0,9.33
Glenn Maxwell,Chennai Super Kings,6,2,75,54,9.0,8.33
Glenn Maxwell,Delhi Capitals,5,2,71,66,11.0,6.45
Glenn Maxwell,Gujarat Lions,1,1,21,12,2.0,10.5
Glenn Maxwell,Kolkata Knight Riders,8,4,117,66,11.0,10.64
Glenn Maxwell,Mumbai Indians,6,1,91,78,13.0,7.0
Glenn Maxwell,Pune Warriors India,1,0,5,6,1.0,5.0
Glenn Maxwell,Punjab Kings,2,0,22,12,2.0,11.0
Glenn Maxwell,Rajasthan Royals,3,1,65,30,5.0,13.0
Glenn Maxwell,Rising Pune Supergiant,2,0,18,18,3.0,6.0
Glenn Maxwell,Royal Challengers Bangalore,8,5,162,114,19.0,8.53
Glenn Maxwell,Sunrisers Hyderabad,8,3,133,90,15.0,8.87
Glenn McGrath,Chennai Super Kings,2,1,44,48,8.0,5.5
Glenn McGrath,Deccan Chargers,2,2,64,48,8.0,8.0
Glenn McGrath,Kolkata Knight Riders,1,0,22,24,4.0,5.5
Glenn McGrath,Mumbai Indians,2,0,65,48,8.0,8.12
Glenn McGrath,Punjab Kings,2,2,47,36,6.0,7.83
Glenn McGrath,Rajasthan Royals,3,1,71,72,12.0,5.92
Glenn McGrath,Royal Challengers Bangalore,2,6,44,48,8.0,5.5
Gnaneshwara Rao,Rajasthan Royals,1,0,7,6,1.0,7.0
Graham Napier,Kolkata Knight Riders,1,1,27,24,4.0,6.75
Gurinder Sandhu,Chennai Super Kings,1,1,33,24,4.0,8.25
Gurinder Sandhu,Rajasthan Royals,1,0,49,24,4.0,12.25
Gurkeerat Singh,Chennai Super Kings,1,0,22,18,3.0,7.33
Gurkeerat Singh,Gujarat Lions,1,0,8,6,1.0,8.0
Gurkeerat Singh,Kolkata Knight Riders,2,2,25,24,4.0,6.25
Gurkeerat Singh,Rising Pune Supergiant,1,2,15,12,2.0,7.5
Gurkeerat Singh,Sunrisers Hyderabad,1,1,27,18,3.0,9.0
Hanuma Vihari,Kolkata Knight Riders,1,0,14,6,1.0,14.0
Hanuma Vihari,Punjab Kings,3,0,16,24,4.0,4.0
Hanuma Vihari,Royal Challengers Bangalore,2,1,17,12,2.0,8.5
Harbhajan Singh,Chennai Super Kings,21,24,505,462,77.0,6.56
Harbhajan Singh,Deccan Chargers,8,9,181,174,29.0,6.24
Harbhajan Singh,Delhi Capitals,22,24,563,489,81.3,6.92
Harbhajan Singh,Gujarat Lions,4,3,101,84,14.0,7.21
Harbhajan Singh,Kochi Tuskers Kerala,1,0,33,24,4.0,8.25
Harbhajan Singh,Kolkata Knight Riders,19,15,453,378,63.0,7.19
Harbhajan Singh,Mumbai Indians,5,2,109,107,17.5,6.23
Harbhajan Singh,Pune Warriors India,5,6,85,102,17.0,5.0
Harbhajan Singh,Punjab Kings,22,22,605,480,80.0,7.56
Harbhajan Singh,Rajasthan Royals,13,11,370,276,46.0,8.04
Harbhajan Singh,Rising Pune Supergiant,3,3,69,66,11.0,6.27
Harbhajan Singh,Royal Challengers Bangalore,22,23,564,468,78.0,7.23
Harbhajan Singh,Sunrisers Hyderabad,12,8,329,264,44.0,7.48
Hardik Pandya,Chennai Super Kings,8,8,161,132,22.0,7.32
Hardik Pandya,Delhi Capitals,9,5,185,126,21.0,8.81
Hardik Pandya,Gujarat Lions,3,0,41,24,4.0,10.25
Hardik Pandya,Kolkata Knight Riders,9,11,159,138,23.0,6.91
Hardik Pandya,Punjab Kings,6,3,229,114,19.0,12.05
Hardik Pandya,Rajasthan Royals,4,4,119,73,12.1,9.83
Hardik Pandya,Rising Pune Supergiant,4,1,77,46,7.4,10.41
Hardik Pandya,Royal Challengers Bangalore,9,5,210,126,21.0,10.0
Hardik Pandya,Sunrisers Hyderabad,8,5,132,90,15.0,8.8
Hardus Viljoen,Delhi Capitals,2,3,61,42,7.0,8.71
Hardus Viljoen,Kolkata Knight Riders,1,1,36,24,4.0,9.0
Hardus Viljoen,Mumbai Indians,2,2,74,48,8.0,9.25
Hardus Viljoen,Royal Challengers Bangalore,1,1,51,24,4.0,12.75
Harmeet Singh,Chennai Super Kings,3,3,69,66,11.0,6.27
Harmeet Singh,Delhi Capitals,5,7,129,108,18.0,7.17
Harmeet Singh,Kolkata Knight Riders,6,3,161,115,19.1,8.43
Harmeet Singh,Mumbai Indians,2,0,47,24,4.0,11.75
Harmeet Singh,Pune Warriors India,2,5,47,38,6.2,7.58
Harmeet Singh,Rajasthan Royals,2,3,48,42,7.0,6.86
Harmeet Singh,Royal Challengers Bangalore,6,4,157,108,18.0,8.72
Harmeet Singh,Sunrisers Hyderabad,1,1,39,24,4.0,9.75
Harmeet Singh (2),Pune Warriors India,1,1,34,24,4.0,8.5
Harpreet Brar,Chennai Super Kings,2,0,65,42,7.0,9.29
Harpreet Brar,Delhi Capitals,1,0,24,12,2.0,12.0
Harry Gurney,Chennai Super Kings,2,1,57,36,6.0,9.5
Harry Gurney,Mumbai Indians,2,2,57,42,7.0,8.14
Harry Gurney,Punjab Kings,1,1,41,24,4.0,10.25
Harry Gurney,Rajasthan Royals,1,2,25,24,4.0,6.25
Harry Gurney,Royal Challengers Bangalore,1,1,42,24,4.0,10.5
Harry Gurney,Sunrisers Hyderabad,1,0,16,12,2.0,8.0
Harshal Patel,Chennai Super Kings,4,5,96,95,15.5,6.19
Harshal Patel,Deccan Chargers,1,0,26,24,4.0,6.5
Harshal Patel,Delhi Capitals,6,6,162,120,20.0,8.1
Harshal Patel,Kolkata Knight Riders,6,6,214,126,21.0,10.19
Harshal Patel,Mumbai Indians,8,9,189,141,23.3,8.11
Harshal Patel,Pune Warriors India,2,2,65,48,8.0,8.12
Harshal Patel,Punjab Kings,5,6,162,90,15.0,10.8
Harshal Patel,Rajasthan Royals,4,7,99,90,15.0,6.6
Harshal Patel,Rising Pune Supergiant,1,1,46,24,4.0,11.5
Harshal Patel,Royal Challengers Bangalore,3,2,127,66,11.0,11.55
Harshal Patel,Sunrisers Hyderabad,6,2,163,102,17.0,9.59
Imran Tahir,Chennai Super Kings,1,1,27,24,4.0,6.75
Imran Tahir,Delhi Capitals,4,7,84,80,13.2,6.36
Imran Tahir,Gujarat Lions,3,7,104,72,12.0,8.67
Imran Tahir,Kolkata Knight Riders,7,10,234,168,28.0,8.36
Imran Tahir,Mumbai Indians,14,17,423,295,49.1,8.62
Imran Tahir,Punjab Kings,9,12,276,209,34.5,8.0
Imran Tahir,Rajasthan Royals,5,9,148,120,20.0,7.4
Imran Tahir,Rising Pune Supergiant,1,2,26,24,4.0,6.5
Imran Tahir,Royal Challengers Bangalore,8,10,218,180,30.0,7.27
Imran Tahir,Sunrisers Hyderabad,6,5,147,120,20.0,7.35
Iqbal Abdulla,Chennai Super Kings,7,4,159,129,21.3,7.46
Iqbal Abdulla,Deccan Chargers,2,5,58,48,8.0,7.25
Iqbal Abdulla,Delhi Capitals,8,8,174,150,25.0,6.96
Iqbal Abdulla,Gujarat Lions,2,2,79,48,8.0,9.88
Iqbal Abdulla,Kochi Tuskers Kerala,2,0,39,36,6.0,6.5
Iqbal Abdulla,Kolkata Knight Riders,2,1,39,36,6.0,6.5
Iqbal Abdulla,Mumbai Indians,7,6,212,162,27.0,7.85
Iqbal Abdulla,Pune Warriors India,4,5,84,84,14.0,6.0
Iqbal Abdulla,Punjab Kings,4,2,76,66,11.0,6.91
Iqbal Abdulla,Rajasthan Royals,5,3,98,84,14.0,7.0
Iqbal Abdulla,Rising Pune Supergiant,1,0,22,18,3.0,7.33
Iqbal Abdulla,Royal Challengers Bangalore,2,1,30,30,5.0,6.0
Iqbal Abdulla,Sunrisers Hyderabad,2,3,39,29,4.5,8.67
Irfan Pathan,Chennai Super Kings,13,11,408,280,46.4,8.79
Irfan Pathan,Deccan Chargers,9,7,271,192,32.0,8.47
Irfan Pathan,Delhi Capitals,8,8,156,147,24.3,6.42
Irfan Pathan,Kochi Tuskers Kerala,2,2,65,48,8.0,8.12
Irfan Pathan,Kolkata Knight Riders,13,8,320,262,43.4,7.37
Irfan Pathan,Mumbai Indians,15,15,360,307,51.1,7.05
Irfan Pathan,Pune Warriors India,5,4,139,114,19.0,7.32
Irfan Pathan,Punjab Kings,10,6,234,174,29.0,8.07
Irfan Pathan,Rajasthan Royals,11,8,279,215,35.5,7.86
Irfan Pathan,Royal Challengers Bangalore,13,10,392,278,46.2,8.48
Irfan Pathan,Sunrisers Hyderabad,2,1,25,26,4.2,5.95
Ish Sodhi,Chennai Super Kings,1,1,29,24,4.0,7.25
Ish Sodhi,Delhi Capitals,1,3,26,19,3.1,8.39
Ish Sodhi,Kolkata Knight Riders,2,1,36,48,8.0,4.5
