bowler,season,match,wickets,bowler's_runs,valid_ball,overs_bowled,economy,best,4W Hall,5W Hall
Jagadeesha Suchith,2019,1,2,28,24,4.0,7.0,2/ 28,0,0
Sandeep Warrier,2019,3,2,85,72,12.0,7.08,2/ 31,0,0
Riyan Parag,2019,7,2,121,84,14.0,8.64,1/ 10,0,0
Marcus Stoinis,2019,6,2,145,100,16.4,8.84,1/ 13,0,0
Scott Kuggeleijn,2019,2,2,71,48,8.0,8.88,2/ 37,0,0
Shakib Al Hasan,2019,3,2,95,65,10.5,9.05,1/ 26,0,0
Harshal Patel,2019,2,2,77,48,8.0,9.62,2/ 40,0,0
Shahbaz Nadeem,2019,3,2,90,54,9.0,10.0,1/ 24,0,0
Lockie Ferguson,2019,5,2,183,102,17.0,10.76,1/ 38,0,0
Anukul Roy,2019,1,1,11,12,2.0,5.5,1/ 11,0,0
Stuart Binny,2019,5,1,44,42,7.0,6.29,1/ 19,0,0
Jayant Yadav,2019,2,1,50,42,7.0,7.14,1/ 25,0,0
Krishnappa Gowtham,2019,7,1,166,120,20.0,8.3,1/ 32,0,0
Vijay Shankar,2019,5,1,70,48,8.0,8.75,1/ 11,0,0
Mohit Sharma,2019,1,1,27,18,3.0,9.0,1/ 27,0,0
Sherfane Rutherford,2019,6,1,59,41,6.5,9.08,1/ 6,0,0
Kulwant Khejroliya,2019,2,1,46,30,5.0,9.2,1/ 29,0,0
Mayank Markande,2019,3,1,59,36,6.0,9.83,1/ 23,0,0
Abhishek Sharma,2019,2,1,21,12,2.0,10.5,1/ 10,0,0
Deepak Hooda,2019,2,1,21,12,2.0,10.5,1/ 13,0,0
Prithvi Raj,2019,2,1,57,30,5.0,11.4,1/ 29,0,0
Varun Chakravarthy,2019,1,1,35,18,3.0,11.67,1/ 35,0,0
Tim Southee,2019,3,1,118,54,9.0,13.11,1/ 24,0,0
Karn Sharma,2019,1,1,33,17,2.5,13.2,1/ 33,0,0
Ben Cutting,2019,1,1,27,12,2.0,13.5,1/ 27,0,0
Shivam Dube,2019,2,0,8,10,1.4,5.71,0/ 3,0,0
Suresh Raina,2019,1,0,6,6,1.0,6.0,0/ 6,0,0
Yusuf Pathan,2019,1,0,8,6,1.0,8.0,0/ 8,0,0
Hanuma Vihari,2019,1,0,9,6,1.0,9.0,0/ 9,0,0
Basil Thampi,2019,3,0,110,72,12.0,9.17,0/ 29,0,0
Harpreet Brar,2019,2,0,48,30,5.0,9.6,0/ 24,0,0
Carlos Brathwaite,2019,2,0,29,18,3.0,9.67,0/ 13,0,0
Avesh Khan,2019,1,0,30,18,3.0,10.0,0/ 30,0,0
Rasikh Salam,2019,1,0,42,24,4.0,10.5,0/ 42,0,0
Colin de Grandhomme,2019,3,0,55,30,5.0,11.0,0/ 12,0,0
Barinder Sran,2019,2,0,51,24,4.0,12.75,0/ 24,0,0
Liam Livingstone,2019,1,0,13,6,1.0,13.0,0/ 13,0,0
Mandeep Singh,2019,2,0,26,12,2.0,13.0,0/ 8,0,0
Sudhesan Midhun,2019,1,0,27,12,2.0,13.5,0/ 27,0,0
Prayas Barman,2019,1,0,56,24,4.0,14.0,0/ 56,0,0
KC Cariappa,2019,1,0,34,12,2.0,17.0,0/ 34,0,0
Sarfaraz Khan,2019,1,0,6,2,0.2,30.0,0/ 6,0,0
Kagiso Rabada,2020,17,30,547,395,65.5,8.35,4/ 24,2,0
Jasprit Bumrah,2020,15,27,404,360,60.0,6.73,4/ 14,2,0
Trent Boult,2020,15,25,457,344,57.2,7.99,4/ 18,1,0
Anrich Nortje,2020,16,22,512,366,61.0,8.39,3/ 33,0,0
Yuzvendra Chahal,2020,15,21,405,343,57.1,7.09,3/ 18,0,0
Rashid Khan,2020,16,20,344,384,64.0,5.38,3/ 7,0,0
Jofra Archer,2020,14,20,364,335,55.5,6.56,3/ 19,0,0
Mohammed Shami,2020,14,20,460,322,53.4,8.61,3/ 15,0,0
Varun Chakravarthy,2020,13,17,356,312,52.0,6.85,5/ 20,0,1
T Natarajan,2020,16,16,504,377,62.5,8.06,2/ 24,0,0
Rahul Chahar,2020,15,15,433,318,53.0,8.17,2/ 18,0,0
Sandeep Sharma,2020,13,14,374,312,52.0,7.19,3/ 34,0,0
Jason Holder,2020,7,14,233,168,28.0,8.32,3/ 25,0,0
Ravichandran Ashwin,2020,15,13,391,306,51.0,7.67,3/ 29,0,0
Sam Curran,2020,13,13,344,252,42.0,8.19,3/ 19,0,0
Marcus Stoinis,2020,13,13,283,178,29.4,9.63,3/ 26,0,0
Ravi Bishnoi,2020,14,12,376,306,51.0,7.37,3/ 29,0,0
Deepak Chahar,2020,14,12,396,312,52.0,7.62,2/ 18,0,0
Pat Cummins,2020,14,12,409,312,52.0,7.87,4/ 34,1,0
Chris Morris,2020,9,11,210,190,31.4,6.69,4/ 26,1,0
Mohammed Siraj,2020,9,11,236,163,27.1,8.71,3/ 8,0,0
James Pattinson,2020,10,11,320,213,35.3,9.07,2/ 19,0,0
Rahul Tewatia,2020,14,10,326,276,46.0,7.09,3/ 25,0,0
Murugan Ashwin,2020,9,10,235,189,31.3,7.51,3/ 21,0,0
Shardul Thakur,2020,9,10,275,194,32.2,8.54,2/ 28,0,0
Shreyas Gopal,2020,14,10,427,300,50.0,8.54,2/ 28,0,0
Axar Patel,2020,15,9,327,306,51.0,6.41,2/ 18,0,0
Shivam Mavi,2020,8,9,212,156,26.0,8.15,2/ 15,0,0
Arshdeep Singh,2020,8,9,218,149,24.5,8.9,3/ 23,0,0
Kartik Tyagi,2020,10,9,367,229,38.1,9.63,2/ 36,0,0
Chris Jordan,2020,9,9,304,189,31.3,9.71,3/ 17,0,0
Lungi Ngidi,2020,4,9,167,96,16.0,10.44,3/ 38,0,0
Washington Sundar,2020,15,8,298,300,50.0,5.96,2/ 16,0,0
Khaleel Ahmed,2020,7,8,242,154,25.4,9.53,2/ 24,0,0
Isuru Udana,2020,10,8,282,174,29.0,9.72,2/ 41,0,0
Krunal Pandya,2020,16,6,380,301,50.1,7.58,2/ 26,0,0
Lockie Ferguson,2020,5,6,148,119,19.5,7.59,3/ 15,0,0
Navdeep Saini,2020,13,6,379,274,45.4,8.35,2/ 25,0,0
Dwayne Bravo,2020,6,6,180,126,21.0,8.57,3/ 37,0,0
Ravindra Jadeja,2020,13,6,318,218,36.2,8.78,2/ 42,0,0
Sheldon Cottrell,2020,6,6,176,120,20.0,8.8,2/ 17,0,0
Piyush Chawla,2020,7,6,191,126,21.0,9.1,2/ 33,0,0
Andre Russell,2020,7,6,175,108,18.0,9.72,2/ 29,0,0
Nathan Coulter-Nile,2020,7,5,206,156,26.0,7.92,2/ 29,0,0
Sunil Narine,2020,10,5,302,228,38.0,7.95,2/ 28,0,0
Shahbaz Nadeem,2020,7,5,178,132,22.0,8.09,2/ 19,0,0
Karn Sharma,2020,5,5,165,114,19.0,8.68,2/ 25,0,0
Kamlesh Nagarkoti,2020,9,5,231,156,26.0,8.88,2/ 13,0,0
Vijay Shankar,2020,5,4,82,79,13.1,6.26,1/ 11,0,0
Shivam Dube,2020,5,4,73,54,9.0,8.11,2/ 15,0,0
Kieron Pollard,2020,11,4,190,126,21.0,9.05,1/ 5,0,0
Prasidh Krishna,2020,6,4,163,106,17.4,9.37,3/ 29,0,0
Jaydev Unadkat,2020,7,4,228,138,23.0,9.91,2/ 32,0,0
Bhuvneshwar Kumar,2020,4,3,99,85,14.1,7.02,2/ 25,0,0
Amit Mishra,2020,3,3,72,60,10.0,7.2,2/ 35,0,0
Glenn Maxwell,2020,7,3,169,126,21.0,8.05,1/ 10,0,0
Harshal Patel,2020,5,3,134,90,15.0,8.93,2/ 34,0,0
Tushar Deshpande,2020,5,3,192,102,17.0,11.29,2/ 37,0,0
Tom Curran,2020,5,3,208,109,18.1,11.49,1/ 37,0,0
Shahbaz Ahmed,2020,2,2,44,36,6.0,7.33,2/ 26,0,0
Mitchell Santner,2020,2,2,53,42,7.0,7.57,1/ 23,0,0
Adam Zampa,2020,3,2,92,66,11.0,8.36,1/ 12,0,0
Abhishek Sharma,2020,6,2,91,60,10.0,9.1,1/ 15,0,0
James Neesham,2020,5,2,148,90,15.0,9.87,1/ 17,0,0
Ben Stokes,2020,6,2,154,90,15.0,10.27,2/ 32,0,0
Ankit Rajpoot,2020,6,2,198,103,17.1,11.58,1/ 38,0,0
Siddarth Kaul,2020,1,2,64,24,4.0,16.0,2/ 64,0,0
Jayant Yadav,2020,2,1,43,42,7.0,6.14,1/ 25,0,0
Josh Hazlewood,2020,3,1,64,60,10.0,6.4,1/ 19,0,0
Imran Tahir,2020,3,1,76,66,11.0,6.91,1/ 24,0,0
Kuldeep Yadav,2020,4,1,92,72,12.0,7.67,1/ 20,0,0
Moeen Ali,2020,3,1,42,30,5.0,8.4,1/ 21,0,0
Krishnappa Gowtham,2020,2,1,84,48,8.0,10.5,1/ 45,0,0
Mohit Sharma,2020,1,1,45,24,4.0,11.25,1/ 45,0,0
Basil Thampi,2020,1,1,46,24,4.0,11.5,1/ 46,0,0
Dale Steyn,2020,3,1,133,70,11.4,11.67,1/ 33,0,0
Andrew Tye,2020,1,1,49,25,4.1,11.95,1/ 49,0,0
Abdul Samad,2020,3,1,96,42,7.0,13.71,1/ 41,0,0
Mohammad Nabi,2020,1,0,23,24,4.0,5.75,0/ 23,0,0
Dhawal Kulkarni,2020,1,0,22,18,3.0,7.33,0/ 22,0,0
Ishant Sharma,2020,1,0,26,18,3.0,8.67,0/ 26,0,0
Deepak Hooda,2020,1,0,9,6,1.0,9.0,0/ 9,0,0
Praveen Dubey,2020,3,0,72,48,8.0,9.0,0/ 14,0,0
Daniel Sams,2020,3,0,114,72,12.0,9.5,0/ 30,0,0
Chris Green,2020,1,0,24,17,2.5,9.6,0/ 24,0,0
Chris Gayle,2020,1,0,5,5,0.5,10.0,0/ 5,0,0
Monu Kumar,2020,1,0,20,12,2.0,10.0,0/ 20,0,0
Harpreet Brar,2020,1,0,41,24,4.0,10.25,0/ 41,0,0
Mujeeb Ur Rahman,2020,2,0,83,48,8.0,10.38,0/ 39,0,0
Avesh Khan,2020,1,0,42,24,4.0,10.5,0/ 42,0,0
Sandeep Warrier,2020,1,0,34,18,3.0,11.33,0/ 34,0,0
Nitish Rana,2020,2,0,23,12,2.0,11.5,0/ 7,0,0
Umesh Yadav,2020,2,0,82,43,7.1,11.55,0/ 34,0,0
Varun Aaron,2020,3,0,94,48,8.0,11.75,0/ 22,0,0
Kane Williamson,2020,1,0,24,12,2.0,12.0,0/ 24,0,0
Riyan Parag,2020,2,0,27,12,2.0,13.5,0/ 13,0,0
Mitchell Marsh,2020,1,0,6,4,0.4,15.0,0/ 6,0,0
David Warner,2020,1,0,2,1,0.1,20.0,0/ 2,0,0
