bowler,batting_team,season,Innings,bowler's_wicket,bowler's_runs,valid_ball,overs,economy
Andre Russell,Delhi Capitals,2015,2,1,45,42,7.0,6.43
Andre Russell,Delhi Capitals,2016,2,6,50,42,7.0,7.14
Andre Russell,Delhi Capitals,2018,2,2,53,30,5.0,10.6
Andre Russell,Delhi Capitals,2019,2,2,57,36,6.0,9.5
Andre Russell,Delhi Capitals,2020,1,2,29,24,4.0,7.25
Andre Russell,Gujarat Lions,2016,1,1,21,18,3.0,7.0
Andre Russell,Kolkata Knight Riders,2013,1,0,24,18,3.0,8.0
Andre Russell,Mumbai Indians,2013,1,0,13,6,1.0,13.0
Andre Russell,Mumbai Indians,2015,2,0,58,42,7.0,8.29
Andre Russell,Mumbai Indians,2016,2,1,80,42,7.0,11.43
Andre Russell,Mumbai Indians,2018,2,2,28,24,4.0,7.0
Andre Russell,Mumbai Indians,2019,2,2,59,37,6.1,9.67
Andre Russell,Mumbai Indians,2020,2,1,32,24,4.0,8.0
Andre Russell,Punjab Kings,2012,1,1,51,24,4.0,12.75
Andre Russell,Punjab Kings,2015,2,3,89,48,8.0,11.12
Andre Russell,Punjab Kings,2016,2,4,38,30,5.0,7.6
Andre Russell,Punjab Kings,2018,2,3,72,35,5.5,13.09
Andre Russell,Punjab Kings,2019,2,3,50,36,6.0,8.33
Andre Russell,Rajasthan Royals,2013,1,0,31,18,3.0,10.33
Andre Russell,Rajasthan Royals,2014,1,0,27,18,3.0,9.0
Andre Russell,Rajasthan Royals,2015,1,3,32,24,4.0,8.0
Andre Russell,Rajasthan Royals,2018,2,2,35,36,6.0,5.83
Andre Russell,Rajasthan Royals,2019,1,1,32,18,3.0,10.67
Andre Russell,Rising Pune Supergiant,2016,2,1,27,24,4.0,6.75
Andre Russell,Royal Challengers Bangalore,2012,1,0,41,24,4.0,10.25
Andre Russell,Royal Challengers Bangalore,2015,2,1,38,22,3.4,11.18
Andre Russell,Royal Challengers Bangalore,2016,2,1,56,39,6.3,8.89
Andre Russell,Royal Challengers Bangalore,2018,2,3,41,30,5.0,8.2
Andre Russell,Royal Challengers Bangalore,2019,2,1,33,24,4.0,8.25
Andre Russell,Royal Challengers Bangalore,2020,1,1,51,24,4.0,12.75
Andre Russell,Sunrisers Hyderabad,2015,2,2,16,18,3.0,5.33
Andre Russell,Sunrisers Hyderabad,2016,1,1,19,24,4.0,4.75
Andre Russell,Sunrisers Hyderabad,2018,3,1,79,42,7.0,11.29
Andre Russell,Sunrisers Hyderabad,2019,2,2,40,24,4.0,10.0
Andre Russell,Sunrisers Hyderabad,2020,2,1,45,24,4.0,11.25
Andrew Flintoff,Delhi Capitals,2009,1,0,50,24,4.0,12.5
Andrew Flintoff,Mumbai Indians,2009,1,1,44,24,4.0,11.0
Andrew Flintoff,Royal Challengers Bangalore,2009,1,1,11,18,3.0,3.67
Andrew McDonald,Chennai Super Kings,2011,1,0,23,12,2.0,11.5
Andrew McDonald,Delhi Capitals,2012,1,1,11,12,2.0,5.5
Andrew McDonald,Delhi Capitals,2013,1,1,17,12,2.0,8.5
Andrew McDonald,Kolkata Knight Riders,2010,1,2,37,24,4.0,9.25
Andrew McDonald,Mumbai Indians,2010,1,1,42,24,4.0,10.5
Andrew McDonald,Punjab Kings,2012,2,4,50,48,8.0,6.25
Andrew McDonald,Rajasthan Royals,2010,1,0,17,12,2.0,8.5
Andrew McDonald,Royal Challengers Bangalore,2009,1,0,22,18,3.0,7.33
Andrew McDonald,Royal Challengers Bangalore,2010,1,2,42,24,4.0,10.5
Andrew Symonds,Chennai Super Kings,2010,3,4,70,66,11.0,6.36
Andrew Symonds,Delhi Capitals,2008,1,0,35,12,2.0,17.5
Andrew Symonds,Delhi Capitals,2009,2,2,39,36,6.0,6.5
Andrew Symonds,Delhi Capitals,2010,2,3,29,36,6.0,4.83
Andrew Symonds,Delhi Capitals,2011,1,0,23,12,2.0,11.5
Andrew Symonds,Kolkata Knight Riders,2008,1,0,20,12,2.0,10.0
Andrew Symonds,Kolkata Knight Riders,2009,1,1,28,24,4.0,7.0
Andrew Symonds,Kolkata Knight Riders,2010,2,2,52,48,8.0,6.5
