batsman,Bowling Team,Innings,batsman_runs,valid_ball,Strike Rate,not outs,Average
Shane Warne,Royal Challengers Bangalore,2,7,16,43.75,0,3.5
Shane Watson,Chennai Super Kings,12,480,312,153.85,1,43.64
Shane Watson,Deccan Chargers,4,80,57,140.35,1,26.67
Shane Watson,Delhi Capitals,18,531,377,140.85,3,35.4
Shane Watson,Gujarat Lions,3,7,13,53.85,0,2.33
Shane Watson,Kochi Tuskers Kerala,2,69,53,130.19,0,34.5
Shane Watson,Kolkata Knight Riders,17,503,353,142.49,1,31.44
Shane Watson,Mumbai Indians,22,466,392,118.88,1,22.19
Shane Watson,Pune Warriors India,4,165,100,165.0,1,55.0
Shane Watson,Punjab Kings,17,449,321,139.88,3,32.07
Shane Watson,Rajasthan Royals,6,199,128,155.47,0,33.17
Shane Watson,Rising Pune Supergiant,3,51,32,159.38,1,25.5
Shane Watson,Royal Challengers Bangalore,15,308,267,115.36,2,23.69
Shane Watson,Sunrisers Hyderabad,18,566,392,144.39,2,35.38
Shardul Thakur,Delhi Capitals,1,7,6,116.67,1,7.0
Shardul Thakur,Gujarat Lions,1,0,1,0.0,0,0.0
Shardul Thakur,Mumbai Indians,3,25,27,92.59,1,12.5
Shardul Thakur,Royal Challengers Bangalore,2,1,2,50.0,1,1.0
Shardul Thakur,Sunrisers Hyderabad,2,15,6,250.0,1,15.0
Shaun Marsh,Chennai Super Kings,7,296,209,141.63,1,49.33
Shaun Marsh,Deccan Chargers,6,190,144,131.94,1,38.0
Shaun Marsh,Delhi Capitals,7,219,157,139.49,0,31.29
Shaun Marsh,Gujarat Lions,3,89,70,127.14,0,29.67
Shaun Marsh,Kochi Tuskers Kerala,1,42,30,140.0,0,42.0
Shaun Marsh,Kolkata Knight Riders,7,186,157,118.47,1,31.0
Shaun Marsh,Mumbai Indians,12,526,396,132.83,1,47.82
Shaun Marsh,Pune Warriors India,3,97,85,114.12,1,48.5
Shaun Marsh,Rajasthan Royals,7,409,282,145.04,0,58.43
Shaun Marsh,Rising Pune Supergiant,2,14,19,73.68,0,7.0
Shaun Marsh,Royal Challengers Bangalore,10,266,206,129.13,2,33.25
Shaun Marsh,Sunrisers Hyderabad,4,143,107,133.64,0,35.75
Shaun Pollock,Chennai Super Kings,1,17,15,113.33,0,17.0
Shaun Pollock,Deccan Chargers,1,31,31,100.0,0,31.0
Shaun Pollock,Delhi Capitals,2,49,30,163.33,0,24.5
Shaun Pollock,Punjab Kings,2,22,22,100.0,0,11.0
Shaun Pollock,Rajasthan Royals,1,0,1,0.0,0,0.0
Shaun Pollock,Royal Challengers Bangalore,1,28,12,233.33,0,28.0
Shaun Tait,Chennai Super Kings,1,1,1,100.0,1,1.0
Shaun Tait,Delhi Capitals,1,11,12,91.67,0,11.0
Shaun Tait,Kochi Tuskers Kerala,1,10,9,111.11,1,10.0
Shaun Tait,Kolkata Knight Riders,1,0,1,0.0,0,0.0
Shaun Tait,Royal Challengers Bangalore,1,1,3,33.33,0,1.0
Sheldon Cottrell,Sunrisers Hyderabad,1,0,2,0.0,0,0.0
Sheldon Jackson,Delhi Capitals,1,12,5,240.0,1,12.0
Sheldon Jackson,Rising Pune Supergiant,1,10,9,111.11,0,10.0
Sheldon Jackson,Sunrisers Hyderabad,1,16,17,94.12,0,16.0
Sherfane Rutherford,Chennai Super Kings,2,12,16,75.0,0,6.0
Sherfane Rutherford,Punjab Kings,1,2,2,100.0,1,2.0
Sherfane Rutherford,Rajasthan Royals,2,22,11,200.0,0,11.0
Sherfane Rutherford,Royal Challengers Bangalore,1,28,13,215.38,1,28.0
Sherfane Rutherford,Sunrisers Hyderabad,1,9,12,75.0,0,9.0
Shikhar Dhawan,Chennai Super Kings,23,777,607,128.01,4,40.89
Shikhar Dhawan,Deccan Chargers,5,118,112,105.36,2,39.33
Shikhar Dhawan,Delhi Capitals,15,522,366,142.62,1,37.29
Shikhar Dhawan,Gujarat Lions,5,127,105,120.95,2,42.33
Shikhar Dhawan,Kochi Tuskers Kerala,1,4,9,44.44,0,4.0
Shikhar Dhawan,Kolkata Knight Riders,25,688,568,121.13,1,28.67
Shikhar Dhawan,Mumbai Indians,24,748,581,128.74,5,39.37
Shikhar Dhawan,Pune Warriors India,4,81,71,114.08,0,20.25
Shikhar Dhawan,Punjab Kings,24,733,546,134.25,2,33.32
Shikhar Dhawan,Rajasthan Royals,19,547,418,130.86,2,32.18
Shikhar Dhawan,Rising Pune Supergiant,4,138,121,114.05,1,46.0
Shikhar Dhawan,Royal Challengers Bangalore,20,566,459,123.31,3,33.29
Shikhar Dhawan,Sunrisers Hyderabad,6,148,119,124.37,0,24.67
Shimron Hetmyer,Chennai Super Kings,1,0,2,0.0,0,0.0
Shimron Hetmyer,Kolkata Knight Riders,2,17,10,170.0,1,17.0
Shimron Hetmyer,Mumbai Indians,3,21,24,87.5,0,7.0
Shimron Hetmyer,Punjab Kings,2,17,19,89.47,0,8.5
Shimron Hetmyer,Rajasthan Royals,2,46,33,139.39,0,23.0
Shimron Hetmyer,Royal Challengers Bangalore,1,11,7,157.14,1,11.0
Shimron Hetmyer,Sunrisers Hyderabad,5,163,102,159.8,1,40.75
Shivam Dube,Chennai Super Kings,2,24,19,126.32,1,24.0
Shivam Dube,Delhi Capitals,3,52,39,133.33,0,17.33
Shivam Dube,Mumbai Indians,3,38,21,180.95,2,38.0
Shivam Dube,Punjab Kings,2,35,31,112.9,0,17.5
Shivam Dube,Sunrisers Hyderabad,3,20,28,71.43,0,6.67
Shivam Mavi,Chennai Super Kings,1,0,1,0.0,0,0.0
Shivam Mavi,Delhi Capitals,2,1,6,16.67,1,1.0
Shivam Mavi,Mumbai Indians,1,9,10,90.0,0,9.0
Shivam Mavi,Sunrisers Hyderabad,2,13,12,108.33,0,6.5
Shivam Sharma,Mumbai Indians,1,1,1,100.0,1,1.0
Shivam Sharma,Royal Challengers Bangalore,1,4,2,200.0,0,4.0
Shivil Kaushik,Royal Challengers Bangalore,1,0,1,0.0,0,0.0
Shivnarine Chanderpaul,Kolkata Knight Riders,1,7,11,63.64,0,7.0
Shivnarine Chanderpaul,Mumbai Indians,1,16,11,145.45,0,16.0
Shivnarine Chanderpaul,Rajasthan Royals,1,2,9,22.22,0,2.0
Shoaib Ahmed,Chennai Super Kings,1,1,2,50.0,1,1.0
Shoaib Ahmed,Delhi Capitals,2,0,4,0.0,0,0.0
Shoaib Akhtar,Mumbai Indians,1,2,7,28.57,0,2.0
Shoaib Malik,Chennai Super Kings,1,2,3,66.67,0,2.0
Shoaib Malik,Mumbai Indians,1,24,21,114.29,0,24.0
Shoaib Malik,Punjab Kings,2,20,18,111.11,1,20.0
Shoaib Malik,Royal Challengers Bangalore,1,6,4,150.0,0,6.0
Shoaib Shaikh,Rajasthan Royals,1,6,7,85.71,0,6.0
Shreevats Goswami,Chennai Super Kings,3,27,32,84.38,0,9.0
Shreevats Goswami,Deccan Chargers,1,3,3,100.0,0,3.0
Shreevats Goswami,Delhi Capitals,4,92,84,109.52,1,30.67
Shreevats Goswami,Kolkata Knight Riders,5,133,121,109.92,0,26.6
Shreevats Goswami,Mumbai Indians,4,21,31,67.74,0,5.25
Shreevats Goswami,Pune Warriors India,1,6,3,200.0,0,6.0
Shreevats Goswami,Punjab Kings,1,10,14,71.43,0,10.0
Shreevats Goswami,Royal Challengers Bangalore,2,1,5,20.0,0,0.5
Shreyas Gopal,Chennai Super Kings,3,27,20,135.0,2,27.0
Shreyas Gopal,Delhi Capitals,4,31,35,88.57,0,7.75
Shreyas Gopal,Kolkata Knight Riders,4,46,40,115.0,1,15.33
Shreyas Gopal,Mumbai Indians,2,14,9,155.56,1,14.0
Shreyas Gopal,Punjab Kings,3,25,18,138.89,1,12.5
Shreyas Gopal,Rajasthan Royals,1,1,1,100.0,1,1.0
Shreyas Gopal,Rising Pune Supergiant,1,2,16,12.5,0,2.0
Shreyas Gopal,Sunrisers Hyderabad,1,18,18,100.0,0,18.0
Shreyas Iyer,Chennai Super Kings,9,233,206,113.11,1,29.12
Shreyas Iyer,Gujarat Lions,2,110,65,169.23,1,110.0
Shreyas Iyer,Kolkata Knight Riders,12,425,270,157.41,2,42.5
Shreyas Iyer,Mumbai Indians,13,326,273,119.41,2,29.64
Shreyas Iyer,Punjab Kings,11,298,243,122.63,1,29.8
Shreyas Iyer,Rajasthan Royals,7,193,150,128.67,0,27.57
Shreyas Iyer,Rising Pune Supergiant,2,11,14,78.57,0,5.5
Shreyas Iyer,Royal Challengers Bangalore,10,273,227,120.26,0,27.3
Shreyas Iyer,Sunrisers Hyderabad,12,331,291,113.75,1,30.09
Shrikant Wagh,Mumbai Indians,2,2,3,66.67,0,1.0
Shubman Gill,Chennai Super Kings,5,118,97,121.65,1,29.5
Shubman Gill,Delhi Capitals,6,149,107,139.25,0,24.83
Shubman Gill,Mumbai Indians,5,120,100,120.0,0,24.0
Shubman Gill,Punjab Kings,5,209,157,133.12,3,104.5
Shubman Gill,Rajasthan Royals,5,131,99,132.32,1,32.75
Shubman Gill,Royal Challengers Bangalore,5,52,47,110.64,2,17.33
Shubman Gill,Sunrisers Hyderabad,6,160,141,113.48,2,40.0
Siddarth Kaul,Chennai Super Kings,1,7,9,77.78,1,7.0
Siddarth Kaul,Mumbai Indians,3,2,14,14.29,0,0.67
Siddarth Kaul,Rajasthan Royals,1,2,2,100.0,1,2.0
Siddarth Kaul,Rising Pune Supergiant,1,0,2,0.0,1,0.0
Siddarth Kaul,Royal Challengers Bangalore,1,1,1,100.0,0,1.0
Siddharth Chitnis,Chennai Super Kings,1,11,12,91.67,0,11.0
Siddharth Chitnis,Deccan Chargers,2,17,18,94.44,1,17.0
Siddharth Chitnis,Delhi Capitals,2,41,36,113.89,0,20.5
Siddharth Chitnis,Mumbai Indians,1,6,8,75.0,0,6.0
Siddharth Chitnis,Pune Warriors India,1,9,9,100.0,0,9.0
Siddharth Chitnis,Punjab Kings,1,15,5,300.0,0,15.0
Siddharth Trivedi,Chennai Super Kings,1,2,3,66.67,0,2.0
Siddharth Trivedi,Deccan Chargers,2,10,11,90.91,0,5.0
Siddharth Trivedi,Delhi Capitals,4,17,23,73.91,4,17.0
Siddharth Trivedi,Kolkata Knight Riders,2,4,4,100.0,0,2.0
Siddharth Trivedi,Mumbai Indians,2,6,9,66.67,1,6.0
Siddharth Trivedi,Royal Challengers Bangalore,2,3,7,42.86,1,3.0
Siddharth Trivedi,Sunrisers Hyderabad,1,0,1,0.0,1,0.0
