batsman,batsman_runs,Innings,balls_faced,total_fours,total_sixes,Total Boundaries,High_score,strike_rate,Centuries,Half_Centuries,not outs,Average
Sherfane Rutherford,73,7,54,2,7,9,28,135.19,0,0,2,14.6
Liam Livingstone,70,4,48,6,5,11,44,145.83,0,0,1,23.33
Azhar Bilakhia,69,7,84,5,0,5,22,82.14,0,0,2,13.8
Ramesh Powar,67,9,64,6,1,7,28,104.69,0,0,6,22.33
Rahul Sharma,66,19,75,5,3,8,14,88.0,0,0,6,5.08
Heinrich Klaasen,66,6,56,5,1,6,32,117.86,0,0,1,13.2
Mohammad Hafeez,64,8,83,7,2,9,16,77.11,0,0,1,9.14
Jaydev Unadkat,64,13,67,6,1,7,26,95.52,0,0,6,9.14
Anirudh Singh,63,4,66,6,1,7,40,95.45,0,0,0,15.75
Chris Woakes,63,11,66,5,2,7,18,95.45,0,0,5,10.5
Wayne Parnell,63,12,75,4,1,5,16,84.0,0,0,3,7.0
Andrew Flintoff,62,3,53,5,2,7,24,116.98,0,0,1,31.0
James Neesham,61,6,64,3,2,5,22,95.31,0,0,1,12.2
Sreenath Aravind,59,10,57,7,0,7,14,103.51,0,0,7,19.67
Kuldeep Yadav,57,10,75,5,0,5,16,76.0,0,0,5,11.4
Wilkin Mota,56,8,75,2,0,2,25,74.67,0,0,2,9.33
Mohammed Shami,56,18,56,5,2,7,21,100.0,0,0,8,5.6
Ishant Sharma,55,18,61,4,2,6,10,90.16,0,0,12,9.17
Mahesh Rawat,55,11,69,4,1,5,23,79.71,0,0,6,11.0
Jagadeesha Suchith,54,6,47,4,2,6,34,114.89,0,0,4,27.0
Rilee Rossouw,53,5,51,3,3,6,24,103.92,0,0,0,10.6
Aakash Chopra,53,6,71,7,0,7,24,74.65,0,0,0,8.83
RP Singh,52,28,76,2,1,3,10,68.42,0,0,14,3.71
Shoaib Malik,52,5,46,5,0,5,24,113.04,0,0,1,13.0
Ravi Rampaul,51,7,49,3,2,5,23,104.08,0,0,2,10.2
Arun Karthik,51,8,51,4,1,5,19,100.0,0,0,3,10.2
Raiphi Gomez,50,9,51,5,1,6,26,98.04,0,0,4,10.0
Varun Aaron,50,12,71,2,2,4,17,70.42,0,0,7,10.0
Amit Paunikar,49,5,55,9,0,9,20,89.09,0,0,0,9.8
Sanjay Bangar,49,7,58,1,3,4,17,84.48,0,0,1,8.17
Arjun Yadav,49,6,39,5,2,7,16,125.64,0,0,1,9.8
Shardul Thakur,48,9,42,5,1,6,15,114.29,0,0,4,9.6
Yashpal Singh,47,4,65,5,0,5,20,72.31,0,0,0,11.75
Mohammed Siraj,46,9,48,4,1,5,14,95.83,0,0,5,11.5
Sandeep Sharma,44,21,56,3,0,3,9,78.57,0,0,16,8.8
Lockie Ferguson,44,3,30,4,1,5,24,146.67,0,0,3,44.0
Sunny Singh,43,5,31,6,1,7,20,138.71,0,0,1,10.75
Adrian Barath,42,3,42,5,1,6,33,100.0,0,0,1,21.0
Siddharth Trivedi,42,14,58,3,1,4,9,72.41,0,0,7,6.0
Ashish Nehra,41,17,60,3,1,4,22,68.33,0,0,10,5.86
Jasprit Bumrah,40,11,40,2,1,3,16,100.0,0,0,8,13.33
Yashasvi Jaiswal,40,3,44,2,2,4,34,90.91,0,0,0,13.33
Chamara Silva,40,3,26,5,1,6,23,153.85,0,0,1,20.0
Ben Dunk,40,3,35,7,0,7,20,114.29,0,0,0,13.33
Munaf Patel,39,12,41,5,0,5,23,95.12,0,0,6,6.5
Umar Gul,39,4,19,1,5,6,24,205.26,0,0,1,13.0
Asad Pathan,39,7,23,5,2,7,14,169.57,0,0,2,7.8
Shahbaz Nadeem,39,19,86,2,0,2,6,45.35,0,0,6,3.0
Dominic Thornely,39,4,53,2,2,4,30,73.58,0,0,1,13.0
Sheldon Jackson,38,3,31,5,0,5,16,122.58,0,0,1,19.0
Anureet Singh,38,13,56,2,1,3,15,67.86,0,0,5,4.75
Sumit Narwal,37,4,27,6,0,6,23,137.04,0,0,1,12.33
Joginder Sharma,36,5,30,1,2,3,16,120.0,0,0,1,9.0
Sohail Tanvir,36,5,28,3,1,4,13,128.57,0,0,2,12.0
