id,inning,batting_team,batsman,batsman_runs,valid_ball,strike_rate,bowler,dismissal_kind,fielder,info,season,is_four,is_six,bowling_team
548317,2,Rajasthan Royals,Ashok Menaria,20,15,133.3,Kieron Pollard,caught,Rohit Sharma,c Rohit Sharma b Kieron Pollard,2012,2,1,Mumbai Indians
548317,2,Rajasthan Royals,Kevon Cooper,14,6,233.3,Munaf Patel,bowled,,b Munaf Patel,2012,0,2,Mumbai Indians
548317,2,Rajasthan Royals,Siddharth Trivedi,5,6,83.3,,,,not out,2012,0,0,Mumbai Indians
548317,2,Rajasthan Royals,Ankeet Chavan,4,2,200.0,Kieron Pollard,caught,Dinesh Karthik,c Dinesh Karthik b Kieron Pollard,2012,1,0,Mumbai Indians
548317,2,Rajasthan Royals,Rahul Dravid,3,5,60.0,Munaf Patel,caught,Tirumalasetti Suman,c Tirumalasetti Suman b Munaf Patel,2012,0,0,Mumbai Indians
548317,2,Rajasthan Royals,Johan Botha,2,3,66.7,Lasith Malinga,caught,Kieron Pollard,c Kieron Pollard b Lasith Malinga,2012,0,0,Mumbai Indians
548317,2,Rajasthan Royals,Brad Hogg,2,5,40.0,Munaf Patel,caught,James Franklin,c James Franklin b Munaf Patel,2012,0,0,Mumbai Indians
548317,2,Rajasthan Royals,Shreevats Goswami,0,1,0.0,Munaf Patel,caught,Dinesh Karthik,c Dinesh Karthik b Munaf Patel,2012,0,0,Mumbai Indians
548317,2,Rajasthan Royals,Anureet Singh,0,2,0.0,Kieron Pollard,bowled,,b Kieron Pollard,2012,0,0,Mumbai Indians
548318,2,Chennai Super Kings,Faf du Plessis,71,46,154.3,Muttiah Muralitharan,caught,Virat Kohli,c Virat Kohli b Muttiah Muralitharan,2012,5,4,Royal Challengers Bangalore
548318,2,Chennai Super Kings,Mahendra Singh Dhoni,41,23,178.3,Zaheer Khan,caught,TM Dilshan (sub),c TM Dilshan (sub) b Zaheer Khan,2012,1,2,Royal Challengers Bangalore
548318,2,Chennai Super Kings,Albie Morkel,28,7,400.0,Vinay Kumar,caught,Mayank Agarwal,c Mayank Agarwal b Vinay Kumar,2012,2,3,Royal Challengers Bangalore
548318,2,Chennai Super Kings,Dwayne Bravo,25,14,178.6,,,,not out,2012,2,1,Royal Challengers Bangalore
548318,2,Chennai Super Kings,Suresh Raina,23,14,164.3,Muttiah Muralitharan,caught,Raju Bhatkal,c Raju Bhatkal b Muttiah Muralitharan,2012,3,1,Royal Challengers Bangalore
548318,2,Chennai Super Kings,Murali Vijay,11,15,73.3,Muttiah Muralitharan,caught and bowled,,c &b Muttiah Muralitharan,2012,1,0,Royal Challengers Bangalore
548318,2,Chennai Super Kings,Ravindra Jadeja,4,1,400.0,,,,not out,2012,1,0,Royal Challengers Bangalore
548318,1,Royal Challengers Bangalore,Chris Gayle,68,35,194.3,Ravindra Jadeja,caught,Dwayne Bravo,c Dwayne Bravo b Ravindra Jadeja,2012,2,6,Chennai Super Kings
548318,1,Royal Challengers Bangalore,Virat Kohli,57,46,123.9,Doug Bollinger,caught,Faf du Plessis,c Faf du Plessis b Doug Bollinger,2012,5,2,Chennai Super Kings
548318,1,Royal Challengers Bangalore,Mayank Agarwal,45,26,173.1,Albie Morkel,caught,Dwayne Bravo,c Dwayne Bravo b Albie Morkel,2012,5,3,Chennai Super Kings
548318,1,Royal Challengers Bangalore,Saurabh Tiwary,8,6,133.3,Ravindra Jadeja,caught,Suresh Raina,c Suresh Raina b Ravindra Jadeja,2012,1,0,Chennai Super Kings
548318,1,Royal Challengers Bangalore,Vinay Kumar,6,1,600.0,,,,not out,2012,0,1,Chennai Super Kings
548318,1,Royal Challengers Bangalore,AB de Villiers,4,2,200.0,Albie Morkel,caught,Shadab Jakati,c Shadab Jakati b Albie Morkel,2012,1,0,Chennai Super Kings
548318,1,Royal Challengers Bangalore,Daniel Vettori,1,1,100.0,Doug Bollinger,run out,,run out Doug Bollinger,2012,0,0,Chennai Super Kings
548318,1,Royal Challengers Bangalore,Cheteshwar Pujara,0,1,0.0,Doug Bollinger,bowled,,b Doug Bollinger,2012,0,0,Chennai Super Kings
548318,1,Royal Challengers Bangalore,Raju Bhatkal,0,2,0.0,Doug Bollinger,caught,Suresh Raina,c Suresh Raina b Doug Bollinger,2012,0,0,Chennai Super Kings
548319,1,Pune Warriors India,Mithun Manhas,31,28,110.7,Dimitri Mascarenhas,bowled,,b Dimitri Mascarenhas,2012,3,1,Punjab Kings
548319,1,Pune Warriors India,Robin Uthappa,17,16,106.2,Dimitri Mascarenhas,caught,Bipul Sharma,c Bipul Sharma b Dimitri Mascarenhas,2012,0,1,Punjab Kings
548319,1,Pune Warriors India,Sourav Ganguly,16,9,177.8,Dimitri Mascarenhas,caught,Shaun Marsh,c Shaun Marsh b Dimitri Mascarenhas,2012,3,0,Punjab Kings
548319,1,Pune Warriors India,Steve Smith,13,13,100.0,Piyush Chawla,bowled,,b Piyush Chawla,2012,1,0,Punjab Kings
548319,1,Pune Warriors India,Angelo Mathews,11,9,122.2,Harmeet Singh,lbw,,lbw b Harmeet Singh,2012,2,0,Punjab Kings
548319,1,Pune Warriors India,Jesse Ryder,7,11,63.6,Praveen Kumar,run out,"DJ Hussey,AC Gilchrist","run out DJ Hussey,AC Gilchrist",2012,1,0,Punjab Kings
548319,1,Pune Warriors India,Ashish Nehra,2,4,50.0,,,,not out,2012,0,0,Punjab Kings
548319,1,Pune Warriors India,Rahul Sharma,2,4,50.0,Dimitri Mascarenhas,caught,Mandeep Singh,c Mandeep Singh b Dimitri Mascarenhas,2012,0,0,Punjab Kings
548319,1,Pune Warriors India,Ashoke Dinda,2,5,40.0,Parvinder Awana,run out,Parvinder Awana,run out Parvinder Awana,2012,0,0,Punjab Kings
548319,1,Pune Warriors India,Marlon Samuels,2,12,16.7,Dimitri Mascarenhas,bowled,,b Dimitri Mascarenhas,2012,0,0,Punjab Kings
548319,1,Pune Warriors India,Manish Pandey,0,3,0.0,Harmeet Singh,caught,David Hussey,c David Hussey b Harmeet Singh,2012,0,0,Punjab Kings
548319,2,Punjab Kings,Shaun Marsh,64,54,118.5,,,,not out,2012,7,1,Pune Warriors India
548319,2,Punjab Kings,Adam Gilchrist,21,17,123.5,Angelo Mathews,caught,Steve Smith,c Steve Smith b Angelo Mathews,2012,3,0,Pune Warriors India
548319,2,Punjab Kings,Piyush Chawla,21,24,87.5,,,,not out,2012,3,0,Pune Warriors India
548319,2,Punjab Kings,Mandeep Singh,10,10,100.0,Rahul Sharma,caught,Steve Smith,c Steve Smith b Rahul Sharma,2012,1,0,Pune Warriors India
548319,2,Punjab Kings,Paul Valthaty,0,1,0.0,Ashoke Dinda,bowled,,b Ashoke Dinda,2012,0,0,Pune Warriors India
548320,2,Kolkata Knight Riders,Jacques Kallis,31,38,81.6,Johan Botha,lbw,,lbw b Johan Botha,2012,3,0,Rajasthan Royals
548320,2,Kolkata Knight Riders,Manvinder Bisla,29,29,100.0,Ashok Menaria,caught,Ajinkya Rahane,c Ajinkya Rahane b Ashok Menaria,2012,3,0,Rajasthan Royals
548320,2,Kolkata Knight Riders,Manoj Tiwary,24,18,133.3,Brad Hogg,stumped,Shreevats Goswami,stumped Shreevats Goswami b Brad Hogg,2012,1,1,Rajasthan Royals
548320,2,Kolkata Knight Riders,Shakib Al Hasan,16,10,160.0,Anureet Singh,caught,Ashok Menaria,c Ashok Menaria b Anureet Singh,2012,1,1,Rajasthan Royals
548320,2,Kolkata Knight Riders,Gautam Gambhir,11,11,100.0,Anureet Singh,run out,Rahul Dravid,run out Rahul Dravid,2012,2,0,Rajasthan Royals
548320,2,Kolkata Knight Riders,Ryan ten Doeschate,7,3,233.3,,,,not out,2012,0,1,Rajasthan Royals
548320,2,Kolkata Knight Riders,Yusuf Pathan,7,7,100.0,,,,not out,2012,1,0,Rajasthan Royals
548320,1,Rajasthan Royals,Owais Shah,31,33,93.9,Sunil Narine,stumped,Manvinder Bisla,stumped Manvinder Bisla b Sunil Narine,2012,3,0,Kolkata Knight Riders
548320,1,Rajasthan Royals,Rahul Dravid,28,27,103.7,Shakib Al Hasan,caught,Manoj Tiwary,c Manoj Tiwary b Shakib Al Hasan,2012,5,0,Kolkata Knight Riders
548320,1,Rajasthan Royals,Shreevats Goswami,24,22,109.1,Shakib Al Hasan,caught,Lakshmipathy Balaji,c Lakshmipathy Balaji b Shakib Al Hasan,2012,1,1,Kolkata Knight Riders
548320,1,Rajasthan Royals,Ajinkya Rahane,19,16,118.8,Shakib Al Hasan,caught,Manvinder Bisla,c Manvinder Bisla b Shakib Al Hasan,2012,3,0,Kolkata Knight Riders
548320,1,Rajasthan Royals,Brad Hodge,12,9,133.3,,,,not out,2012,0,1,Kolkata Knight Riders
548320,1,Rajasthan Royals,Johan Botha,6,7,85.7,,,,not out,2012,1,0,Kolkata Knight Riders
548320,1,Rajasthan Royals,Ashok Menaria,1,6,16.7,Yusuf Pathan,run out,Yusuf Pathan,run out Yusuf Pathan,2012,0,0,Kolkata Knight Riders
548321,1,Deccan Chargers,Parthiv Patel,45,26,173.1,Shahbaz Nadeem,caught,Mahela Jayawardene,c Mahela Jayawardene b Shahbaz Nadeem,2012,5,1,Delhi Capitals
548321,1,Deccan Chargers,Shikhar Dhawan,44,29,151.7,Shahbaz Nadeem,lbw,,lbw b Shahbaz Nadeem,2012,5,1,Delhi Capitals
548321,1,Deccan Chargers,Bharat Chipli,25,17,147.1,,,,not out,2012,3,1,Delhi Capitals
548321,1,Deccan Chargers,Daniel Christian,19,21,90.5,Umesh Yadav,caught,Shahbaz Nadeem,c Shahbaz Nadeem b Umesh Yadav,2012,1,0,Delhi Capitals
548321,1,Deccan Chargers,Amit Mishra,6,6,100.0,Morne Morkel,run out,"KP Pietersen,NV Ojha","run out KP Pietersen,NV Ojha",2012,0,0,Delhi Capitals
548321,1,Deccan Chargers,Abhishek Jhunjhunwala,4,5,80.0,Morne Morkel,caught,Naman Ojha,c Naman Ojha b Morne Morkel,2012,1,0,Delhi Capitals
548321,1,Deccan Chargers,JP Duminy,4,5,80.0,Shahbaz Nadeem,caught,Virender Sehwag,c Virender Sehwag b Shahbaz Nadeem,2012,0,0,Delhi Capitals
548321,1,Deccan Chargers,Dale Steyn,2,3,66.7,Morne Morkel,caught,Virender Sehwag,c Virender Sehwag b Morne Morkel,2012,0,0,Delhi Capitals
548321,1,Deccan Chargers,Ankit Sharma,1,1,100.0,,,,not out,2012,0,0,Delhi Capitals
548321,1,Deccan Chargers,Kumar Sangakkara,1,7,14.3,Morne Morkel,caught,Yogesh Nagar,c Yogesh Nagar b Morne Morkel,2012,0,0,Delhi Capitals
548321,2,Delhi Capitals,Kevin Pietersen,103,64,160.9,,,,not out,2012,6,9,Deccan Chargers
548321,2,Delhi Capitals,Yogesh Nagar,23,15,153.3,,,,not out,2012,3,0,Deccan Chargers
548321,2,Delhi Capitals,Ross Taylor,13,11,118.2,Daniel Christian,run out,Shikhar Dhawan,run out Shikhar Dhawan,2012,1,0,Deccan Chargers
